rank,task,hash,cost,score,archetype
1,task219,90f3ed37,40847,14.3824,all_pixels|draw
2,task366,e6721834,39935,14.4050,all_pixels
3,task018,0e206a2e,32065,14.6245,continuous_creature|overlaps
4,task187,7b6016b9,31381,14.6460,get_pixel|transpose
5,task233,97a05b5b,29193,14.7183,all_pixels|overlaps
6,task173,72322fa7,27476,14.7789,overlaps
7,task076,36d67576,26791,14.8042,all_pixels|diagonally_connected|overlaps
8,task349,db93a21d,21722,15.0139,draw
9,task066,2dd70a9a,21296,15.0337,transpose
10,task118,50846271,20063,15.0934,overlaps|random_pixels
11,task364,e509e548,20004,15.0963,overlaps|rand_sprite
12,task198,83302e8f,18651,15.1663,create_linegrid
13,task286,b782dc8a,18187,15.1915,get_pixel
14,task319,ce602527,16656,15.2795,conway_sprite|diagonally_connected|draw|get_pixel
15,task002,00d62c1b,16575,15.2843,is_surrounded|overlaps|random_pixels
16,task158,6aa20dc0,16134,15.3113,overlaps
17,task243,9edfc990,16103,15.3132,
18,task209,8a004b2b,15340,15.3618,continuous_creature
19,task285,b775ac94,15054,15.3806,continuous_creature|get_pixel
20,task138,5daaa586,14535,15.4157,draw|random_pixels|remove_neighbors
21,task077,36fdfd69,14138,15.4434,overlaps|random_pixels
22,task110,484b58aa,13925,15.4586,
23,task396,fcb5c309,13410,15.4962,all_pixels|overlaps|random_pixels
24,task025,1a07d186,13370,15.4992,random_pixels|transpose
25,task064,2c608aff,13325,15.5026,random_pixels
26,task145,6455b5f5,13215,15.5109,
27,task017,0dfd9992,12816,15.5416,
28,task202,855e0971,12153,15.5947,transpose
29,task379,ecdecbb3,11409,15.6578,transpose
30,task367,e73095fd,10862,15.7070,draw|get_pixel
31,task191,7df24a62,10829,15.7100,all_pixels|draw|get_pixel|random_pixels
32,task029,1c786137,10810,15.7118,
33,task222,91714a58,10680,15.7239,get_pixel|random_pixels
34,task205,8731374e,10614,15.7301,
35,task370,e8dc4411,10550,15.7361,conway_sprite|draw|transpose
36,task054,264363fd,10078,15.7819,get_pixel|transpose
37,task023,150deff5,9934,15.7963,overlaps
38,task101,447fd412,9752,15.8148,continuous_creature|draw|overlaps
39,task044,228f6490,9243,15.8684,continuous_creature|overlaps
40,task216,8efcae92,9227,15.8701,overlaps|random_pixels
41,task255,a64e4611,9169,15.8764,draw|random_pixels|transpose
42,task096,4290ef0e,9095,15.8845,draw|get_pixel
43,task350,dbc1a6ce,9038,15.8908,random_pixels
44,task204,868de0fa,8936,15.9022,overlaps
45,task324,d07ae81c,8916,15.9044,all_pixels|remove_diagonal_neighbors
46,task133,57aa92db,8627,15.9373,continuous_creature|draw|overlaps
47,task182,776ffc46,8139,15.9956,draw|overlaps
48,task014,0b148d64,7797,16.0385,random_pixels
49,task165,6d58a25d,7339,16.0990,random_pixels
50,task340,d687bc17,7267,16.1089,
51,task092,40853293,7257,16.1103,
52,task174,72ca375d,7185,16.1202,continuous_creature|overlaps
53,task009,06df4c85,6989,16.1479,create_linegrid
54,task192,7e0986d6,6958,16.1524,overlaps|random_pixels|remove_neighbors
55,task234,98cf29f8,6916,16.1584,transpose
56,task328,d22278a0,6916,16.1584,
57,task005,045e512c,6815,16.1731,
