# NOTE: cost=0 (params=0, memory=0) の correct ネットは score=25.0(満点)。公式 max(1,25-ln(cost)) は cost<=1 で 25 上限。
task,cost,correct,score,secs
task001,204,1,19.6819,1.3
task002,1852,1,17.4760,16.9
task003,146,1,20.0164,0.2
task004,367,1,19.0946,1.4
task005,2383,1,17.2239,0.4
task006,56,1,20.9746,0.2
task007,78,1,20.6433,0.3
task008,1600,1,17.6222,0.5
task009,4080,1,16.6861,0.9
task010,188,1,19.7636,0.8
task011,150,1,19.9894,4.5
task012,710,1,18.4347,0.3
task013,871,1,18.2304,0.4
task014,520,1,18.7462,0.6
task015,251,1,19.4745,4.1
task016,10,1,22.6974,0.2
task017,10,1,22.6974,2.4
task018,7347,1,16.0980,0.9
task019,832,1,18.2762,0.3
task020,175,1,19.8352,0.3
task021,53,1,21.0297,0.2
task022,121,1,20.2042,0.4
task023,1927,1,17.4363,0.7
task024,56,1,20.9746,0.4
task025,2424,1,17.2068,10.9
task026,90,1,20.5002,0.2
task027,112,1,20.2815,18.9
task028,99,1,20.4049,0.2
task029,988,1,18.1043,1.6
task030,381,1,19.0572,311.2
task031,418,1,18.9645,0.4
task032,94,1,20.4567,0.4
task033,121,1,20.2042,7.0
task034,532,1,18.7234,0.4
task035,914,1,18.1822,0.3
task036,507,1,18.7715,0.5
task037,951,1,18.1425,0.5
task038,151,1,19.9827,0.3
task039,151,1,19.9827,0.3
task040,100,1,20.3948,0.8
task041,1117,1,17.9816,0.3
task042,526,1,18.7347,1.5
task043,66,1,20.8103,0.5
task044,3100,1,16.9608,0.4
task045,126,1,20.1637,0.3
task046,970,1,18.1227,0.4
task047,30,1,21.5988,0.3
task048,622,1,18.5671,0.4
task049,148,1,20.0028,1.3
task050,104,1,20.3556,21.3
task051,380,1,19.0598,71.5
task052,24,1,21.8219,0.3
task053,6,1,23.2082,0.2
task054,6271,1,16.2563,1.6
task055,472,1,18.8430,0.5
task056,24,1,21.8219,0.2
task057,200,1,19.7017,0.3
task058,124,1,20.1797,0.2
task059,192,1,19.7425,1.6
task060,194,1,19.7321,0.5
task061,10,1,22.6974,2.3
task062,1304,1,17.8268,0.3
task063,36,1,21.4165,3.5
task064,383,1,19.0520,46.7
task065,285,1,19.3475,0.3
task066,845,1,18.2607,35.9
task067,0,1,25.0000,0.3
task068,584,1,18.6301,0.3
task069,744,1,18.3880,0.4
task070,221,1,19.6018,0.6
task071,345,1,19.1565,0.3
task072,134,1,20.1022,0.3
task073,16,1,22.2274,0.2
task074,158,1,19.9374,4.5
task075,812,1,18.3005,0.2
task076,4710,1,16.5426,0.7
task077,4551,1,16.5769,0.8
task078,105,1,20.3460,0.5
task079,368,1,19.0919,0.4
task080,3632,1,16.8025,0.4
task081,288,1,19.3370,0.3
task082,21,1,21.9555,0.3
task083,156,1,19.9501,3.9
task084,425,1,18.9479,1.2
task085,310,1,19.2634,3.2
task086,1406,1,17.7515,0.4
task087,5,1,23.3906,0.2
task088,395,1,19.0211,0.6
task089,2620,1,17.1291,1.3
task090,1356,1,17.7877,0.6
task091,1072,1,18.0227,0.4
task092,2604,1,17.1352,0.4
task093,1019,1,18.0734,0.4
