rank,task,hash,cost,score,archetype
1,task367,e73095fd,109037,13.4006,draw|get_pixel
2,task233,97a05b5b,101673,13.4705,all_pixels|overlaps
3,task286,b782dc8a,93576,13.5535,get_pixel
4,task133,57aa92db,90045,13.5919,continuous_creature|draw|overlaps
5,task054,264363fd,87358,13.6222,get_pixel|transpose
6,task366,e6721834,84637,13.6539,all_pixels
7,task101,447fd412,75581,13.7670,continuous_creature|draw|overlaps
8,task018,0e206a2e,72812,13.8044,continuous_creature|overlaps
9,task157,6a1e5592,65842,13.9050,continuous_creature|overlaps
10,task002,00d62c1b,64143,13.9311,is_surrounded|overlaps|random_pixels
11,task285,b775ac94,59929,13.9991,continuous_creature|get_pixel
12,task243,9edfc990,52509,14.1313,
13,task219,90f3ed37,51834,14.1442,all_pixels|draw
14,task187,7b6016b9,51595,14.1488,get_pixel|transpose
15,task118,50846271,51350,14.1536,overlaps|random_pixels
16,task066,2dd70a9a,47352,14.2346,transpose
17,task363,e5062a87,42866,14.3342,conway_sprite|diagonally_connected
18,task076,36d67576,42654,14.3391,all_pixels|diagonally_connected|overlaps
19,task096,4290ef0e,41223,14.3732,draw|get_pixel
20,task173,72322fa7,40724,14.3854,overlaps
21,task349,db93a21d,39267,14.4219,draw
22,task364,e509e548,39237,14.4226,overlaps|rand_sprite
23,task025,1a07d186,39157,14.4247,random_pixels|transpose
24,task379,ecdecbb3,37430,14.4698,transpose
25,task191,7df24a62,37054,14.4799,all_pixels|draw|get_pixel
26,task198,83302e8f,35408,14.5253,create_linegrid
27,task205,8731374e,33926,14.5681,
28,task077,36fdfd69,33523,14.5800,overlaps|random_pixels
29,task110,484b58aa,33161,14.5909,
30,task138,5daaa586,32752,14.6033,draw|random_pixels|remove_neighbors
31,task204,868de0fa,32697,14.6050,overlaps
32,task023,150deff5,31716,14.6354,overlaps
33,task338,d5d6de2d,31476,14.6430,overlaps
34,task216,8efcae92,31399,14.6455,overlaps|random_pixels
35,task064,2c608aff,30889,14.6618,random_pixels
36,task328,d22278a0,30736,14.6668,
37,task017,0dfd9992,30217,14.6838,
38,task377,eb5a1d5d,21770,15.0117,
39,task319,ce602527,20248,15.0842,conway_sprite|diagonally_connected|draw
40,task209,8a004b2b,19645,15.1144,continuous_creature
41,task382,f15e1fac,19540,15.1198,apply_gravity|flip_horiz
42,task208,890034e9,19362,15.1289,get_pixel
43,task089,3e980e27,19348,15.1297,all_pixels|diagonally_connected|overlaps
44,task368,e76a88a6,19024,15.1465,
45,task079,39a8645d,19021,15.1467,conway_sprite|diagonally_connected|overlaps
46,task370,e8dc4411,18703,15.1636,conway_sprite|draw|transpose
47,task131,56dc2b01,18616,15.1682,continuous_creature|flip_horiz|transpose
48,task090,3eda0437,18444,15.1775,random_pixels
49,task270,ae3edfdc,18355,15.1823,
50,task306,c444b776,17949,15.2047,random_pixels
