rank,task,hash,cost,score,archetype
1,task233,97a05b5b,15595,15.3453,all_pixels|overlaps
2,task286,b782dc8a,13542,15.4864,get_pixel
3,task158,6aa20dc0,13262,15.5073,overlaps
4,task285,b775ac94,10318,15.7584,continuous_creature|get_pixel
5,task145,6455b5f5,10180,15.7718,
6,task173,72322fa7,9509,15.8400,overlaps
7,task366,e6721834,9341,15.8578,all_pixels
8,task101,447fd412,7383,16.0931,continuous_creature|draw|overlaps
9,task018,0e206a2e,7347,16.0980,continuous_creature|overlaps
10,task118,50846271,5932,16.3119,overlaps|random_pixels
11,task133,57aa92db,5433,16.3998,continuous_creature|draw|overlaps
12,task054,264363fd,5078,16.4673,get_pixel|transpose
13,task349,db93a21d,4945,16.4939,draw
14,task076,36d67576,4710,16.5426,all_pixels|diagonally_connected|overlaps
15,task192,7e0986d6,4400,16.6106,overlaps|random_pixels|remove_neighbors
16,task279,b2862040,4348,16.6225,draw|overlaps|remove_neighbors
17,task191,7df24a62,4330,16.6267,all_pixels|draw|get_pixel|random_pixels
18,task187,7b6016b9,4060,16.6911,get_pixel|transpose
19,task204,868de0fa,3979,16.7112,overlaps
20,task196,810b9b61,3718,16.7791,draw|overlaps
21,task138,5daaa586,3688,16.7872,draw|random_pixels|remove_neighbors
22,task077,36fdfd69,3685,16.7880,overlaps|random_pixels
23,task209,8a004b2b,3649,16.7978,continuous_creature
24,task080,39e1d7f9,3632,16.8025,all_pixels|create_linegrid|draw|overlaps
25,task367,e73095fd,3626,16.8041,draw|get_pixel
26,task370,e8dc4411,3320,16.8923,conway_sprite|draw|transpose
27,task009,06df4c85,3316,16.8935,create_linegrid
28,task182,776ffc46,3304,16.8971,draw|overlaps
29,task319,ce602527,3082,16.9667,conway_sprite|diagonally_connected|draw|get_pixel
30,task044,228f6490,2917,17.0217,continuous_creature|overlaps
31,task379,ecdecbb3,2758,17.0777,transpose
32,task255,a64e4611,2456,17.1937,draw|random_pixels|transpose
33,task208,890034e9,2431,17.2039,get_pixel
34,task005,045e512c,2371,17.2289,
35,task089,3e980e27,2296,17.2611,all_pixels|diagonally_connected|overlaps
36,task277,b230c067,2253,17.2800,continuous_creature|overlaps
37,task365,e50d258f,2251,17.2809,overlaps
38,task219,90f3ed37,2186,17.3102,all_pixels|draw
39,task092,40853293,2183,17.3115,
40,task025,1a07d186,2152,17.3258,random_pixels|transpose
41,task216,8efcae92,2151,17.3263,overlaps|random_pixels
42,task162,6cf79266,1989,17.4046,random_pixels
43,task361,e40b9e2f,1989,17.4046,
44,task270,ae3edfdc,1965,17.4168,
45,task023,150deff5,1927,17.4363,overlaps
46,task251,a5313dff,1871,17.4658,draw|overlaps
47,task268,aba27056,1843,17.4809,draw|transpose
48,task002,00d62c1b,1832,17.4868,is_surrounded|overlaps|random_pixels
49,task222,91714a58,1813,17.4973,get_pixel|random_pixels
50,task330,d2abd087,1716,17.5522,continuous_creature|overlaps
51,task125,543a7ed5,1698,17.5628,overlaps
52,task096,4290ef0e,1660,17.5854,draw|get_pixel
53,task117,4c5c2cf0,1642,17.5963,conway_sprite|diagonally_connected|flip_horiz
54,task363,e5062a87,1611,17.6154,conway_sprite|diagonally_connected
55,task378,ec883f72,1593,17.6266,draw
56,task264,a8c38be5,1539,17.6611,overlaps
57,task205,8731374e,1517,17.6755,
58,task157,6a1e5592,1460,17.7138,continuous_creature|overlaps
59,task165,6d58a25d,1423,17.7395,random_pixels
60,task396,fcb5c309,1384,17.7673,all_pixels|overlaps|random_pixels
61,task090,3eda0437,1356,17.7877,random_pixels
62,task112,4938f0c2,1325,17.8108,random_pixels
63,task354,ddf7fa4f,1323,17.8123,
64,task086,3befdf3e,1290,17.8376,
65,task340,d687bc17,1264,17.8580,
66,task265,a8d7556c,1137,17.9639,random_pixels
67,task131,56dc2b01,1072,18.0227,continuous_creature|flip_horiz|transpose
68,task280,b527c5c6,1063,18.0311,transpose
69,task243,9edfc990,1010,18.0823,
70,task137,5c2c9af4,1005,18.0873,draw
71,task245,a1570a43,1002,18.0902,conway_sprite
72,task281,b548a754,1001,18.0912,transpose
73,task201,846bdb03,993,18.0993,conway_sprite|overlaps
74,task308,c8cbb738,992,18.1003,
75,task046,234bbc79,970,18.1227,
76,task338,d5d6de2d,964,18.1289,overlaps
77,task107,469497ad,955,18.1383,draw
78,task037,1f876c06,951,18.1425,
79,task041,22168020,914,18.1822,
80,task097,42a50994,910,18.1866,
81,task344,d90796e8,910,18.1866,draw|get_pixel|random_pixels
82,task302,c0f76784,899,18.1987,overlaps
83,task102,44d8ac46,892,18.2065,overlaps
84,task250,a48eeaf7,890,18.2088,
85,task013,0a938d79,869,18.2327,transpose
86,task310,c909285e,868,18.2338,
87,task368,e76a88a6,862,18.2407,
88,task198,83302e8f,853,18.2512,create_linegrid
89,task019,10fcaaa3,832,18.2762,
90,task234,98cf29f8,831,18.2774,transpose
91,task382,f15e1fac,820,18.2907,apply_gravity|flip_horiz
92,task374,ea32f347,816,18.2956,
93,task075,363442ee,812,18.3005,all_pixels
94,task398,feca6190,800,18.3154,
95,task066,2dd70a9a,794,18.3229,transpose
96,task275,b190f7f5,794,18.3229,all_pixels|diagonally_connected
97,task169,6e82a1ae,790,18.3280,overlaps
98,task297,bd4472b8,786,18.3330,
99,task156,694f12f3,779,18.3420,
100,task170,6ecd11f4,777,18.3446,conway_sprite|diagonally_connected|get_pixel
101,task387,f35d900a,758,18.3693,
102,task184,780d0b14,756,18.3720,
103,task069,321b1fc6,744,18.3880,all_pixels|connected|overlaps
104,task364,e509e548,736,18.3988,overlaps|rand_sprite
105,task132,56ff96f3,735,18.4001,overlaps
106,task035,1f642eb9,726,18.4124,
107,task397,fcc82909,719,18.4221,
108,task383,f1cefba8,714,18.4291,
109,task324,d07ae81c,711,18.4333,all_pixels|remove_diagonal_neighbors
110,task012,0962bcdd,710,18.4347,apply_gravity
111,task238,9aec4887,708,18.4376,conway_sprite
112,task273,af902bf9,696,18.4547,
113,task284,b7249182,696,18.4547,transpose
114,task333,d43fd935,690,18.4633,random_pixels
115,task029,1c786137,673,18.4883,
116,task109,47c1f68c,669,18.4942,conway_sprite
117,task341,d6ad076f,653,18.5184,apply_gravity
118,task008,05f2a901,648,18.5261,rectangle_nibbles|transpose
119,task091,3f7978a0,648,18.5261,
120,task185,7837ac64,647,18.5277,create_linegrid|diagonally_connected
121,task377,eb5a1d5d,646,18.5292,
122,task093,4093f84a,631,18.5527,random_pixels|transpose
123,task048,239be575,622,18.5671,overlaps|random_pixels
124,task218,90c28cc7,614,18.5800,
