frame,center_dist,hist_l2_dist_step1,laplacian_var,colorfulness
0,120.0,0.01767731,225.622503,28.236408
1,119.0,0.01828764,220.252635,28.196144
2,118.0,0.01850360,219.786301,28.195721
3,117.0,0.01776969,218.162747,28.216489
4,116.0,0.01731515,222.366521,28.225540
5,115.0,0.01846760,207.953843,28.194508
6,114.0,0.01830254,210.097240,28.218728
7,113.0,0.01852965,208.318899,28.234705
8,112.0,0.01882043,213.012504,28.240559
9,111.0,0.01999952,206.901290,28.229668
10,110.0,0.02069254,205.212086,28.195284
11,109.0,0.01977380,198.170732,28.164500
12,108.0,0.01993899,215.982626,28.188249
13,107.0,0.01904066,212.804872,28.163692
14,106.0,0.01859725,215.088948,28.148449
15,105.0,0.01904563,215.108747,28.145337
16,104.0,0.01878254,222.143938,28.162910
17,103.0,0.01909521,217.886311,28.142234
18,102.0,0.01779445,219.466027,28.129279
19,101.0,0.01796045,218.074973,28.123469
20,100.0,0.01787820,222.743082,28.113720
21,99.0,0.01759965,219.085874,28.117190
22,98.0,0.01774912,220.377554,28.106446
23,97.0,0.01885431,220.366251,28.098215
24,96.0,0.01940933,224.237180,28.118655
25,95.0,0.01846001,220.396841,28.077752
26,94.0,0.01832073,220.960129,28.043540
27,93.0,0.01805087,219.813329,28.050984
28,92.0,0.01917051,223.186286,28.044922
29,91.0,0.01902227,220.283835,27.982647
30,90.0,0.01927377,221.954858,27.965204
31,89.0,0.01796288,220.519631,27.948590
32,88.0,0.01922968,223.979754,27.962245
33,87.0,0.01885164,221.093185,27.965183
34,86.0,0.01935229,221.630280,27.963242
35,85.0,0.01925796,221.052820,27.981541
36,84.0,0.01987673,223.990687,27.996436
37,83.0,0.01824852,220.161976,27.966282
38,82.0,0.01737818,220.574522,27.948855
39,81.0,0.01570871,219.145453,27.941253
40,80.0,0.01516585,223.249151,27.914914
41,79.0,0.01347771,220.093026,27.909490
42,78.0,0.01292216,221.039551,27.908274
43,77.0,0.01239362,219.695025,27.880600
44,76.0,0.01319515,223.874525,27.862460
45,75.0,0.01213017,220.782363,27.823818
46,74.0,0.01164618,222.078319,27.789427
47,73.0,0.01080420,221.872410,27.753197
48,72.0,0.01091314,225.132571,27.734422
49,71.0,0.01004939,220.771771,27.684199
50,70.0,0.00974439,222.465862,27.631283
51,69.0,0.00977230,221.205688,27.647042
52,68.0,0.01114542,224.508976,27.654369
53,67.0,0.01122050,220.044463,27.625106
54,66.0,0.01245327,221.922968,27.663962
55,65.0,0.01188266,220.376379,27.669447
56,64.0,0.01334476,224.119943,27.667445
57,63.0,0.01249894,219.951574,27.665238
58,62.0,0.01298012,220.712100,27.642352
59,61.0,0.01217024,219.864925,27.644751
60,60.0,0.01388584,224.089891,27.645894
61,59.0,0.01155450,219.841010,27.614709
62,58.0,0.01245773,220.878194,27.606627
63,57.0,0.01198423,219.785783,27.606575
64,56.0,0.01331579,224.456116,27.617520
65,55.0,0.01164219,219.865998,27.592932
66,54.0,0.01182658,221.052711,27.597042
67,53.0,0.01022961,219.614302,27.597060
68,52.0,0.01056052,223.286214,27.582395
69,51.0,0.00985283,219.113294,27.574768
70,50.0,0.01083552,220.548301,27.553403
71,49.0,0.01095599,220.422451,27.539430
72,48.0,0.01191009,223.969221,27.533131
73,47.0,0.01153752,221.436133,27.499271
74,46.0,0.01143134,220.867059,27.492042
75,45.0,0.01208507,224.277418,27.500847
76,44.0,0.01141027,228.296031,27.497208
77,43.0,0.01181785,223.784543,27.487798
78,42.0,0.01249552,225.250677,27.479359
79,41.0,0.01197730,224.262154,27.482502
80,40.0,0.01236235,227.899170,27.489205
81,39.0,0.01220749,222.571146,27.505022
82,38.0,0.01223088,222.884088,27.501291
83,37.0,0.01218992,222.171954,27.518562
84,36.0,0.01285711,225.714292,27.543248
85,35.0,0.01219271,220.218736,27.540810
86,34.0,0.01235068,221.651949,27.535979
87,33.0,0.01265003,220.646760,27.551259
88,32.0,0.01378271,224.973854,27.565566
89,31.0,0.01236637,220.026207,27.559621
90,30.0,0.01267425,221.909787,27.555715
91,29.0,0.01213822,219.883014,27.554389
92,28.0,0.01344995,225.858320,27.578886
93,27.0,0.01176473,220.818119,27.599369
94,26.0,0.01153993,221.911825,27.594917
95,25.0,0.01202860,221.234225,27.618710
96,24.0,0.01273924,224.515451,27.640616
97,23.0,0.01365887,220.987550,27.664323
98,22.0,0.01280313,225.047020,27.686540
99,21.0,0.01237685,221.520670,27.678840
100,20.0,0.01209754,222.758435,27.676412
101,19.0,0.01138304,221.455319,27.733921
102,18.0,0.01149179,225.581574,27.763700
103,17.0,0.01027521,220.755707,27.738335
104,16.0,0.01074211,221.658732,27.754544
105,15.0,0.01024229,219.710271,27.758297
106,14.0,0.00954231,223.787327,27.757522
107,13.0,0.00939129,218.914986,27.769488
108,12.0,0.00928181,221.041374,27.767321
109,11.0,0.00879449,218.947770,27.768854
110,10.0,0.00809724,222.606676,27.763985
111,9.0,0.00848618,217.814929,27.761434
112,8.0,0.00866819,219.393877,27.753246
113,7.0,0.00954997,218.034574,27.773497
114,6.0,0.00960492,221.650672,27.774124
115,5.0,0.01011164,217.072129,27.794481
116,4.0,0.00996756,218.374520,27.811195
117,3.0,0.00989014,217.577687,27.831888
118,2.0,0.00922334,221.119440,27.810687
119,1.0,0.00880709,216.484488,27.787195
120,0.0,0.00814192,218.159289,27.788488
121,1.0,0.00817894,216.946313,27.780147
122,2.0,0.00825474,220.459558,27.779081
123,3.0,0.00861562,216.536048,27.770675
124,4.0,0.00871269,217.884361,27.770964
125,5.0,0.00826400,218.687244,27.804620
126,6.0,0.00860505,222.737747,27.875858
127,7.0,0.01050219,217.188792,27.910813
128,8.0,0.00994270,217.687898,27.949388
129,9.0,0.01044526,216.170221,27.996663
130,10.0,0.01009995,220.638438,28.038430
131,11.0,0.01233215,216.207567,28.062643
132,12.0,0.01282457,218.821626,28.068378
133,13.0,0.01472360,218.010294,28.066729
134,14.0,0.01447361,222.496816,28.102951
135,15.0,0.01647138,219.099815,28.106525
136,16.0,0.01633718,220.396213,28.101010
137,17.0,0.01622112,219.957712,28.127114
138,18.0,0.01387286,223.956453,28.160961
139,19.0,0.01429807,219.668528,28.158488
140,20.0,0.01256758,222.042520,28.148413
141,21.0,0.01125117,221.265590,28.156641
142,22.0,0.01036690,224.307364,28.158676
143,23.0,0.01214691,219.900657,28.150092
144,24.0,0.01214552,220.752853,28.143961
145,25.0,0.01268117,218.792006,28.138281
146,26.0,0.01182266,223.068571,28.152465
147,27.0,0.01402936,219.475757,28.142768
148,28.0,0.01278596,221.429316,28.115267
149,29.0,0.01179677,221.465205,28.090281
150,30.0,0.00984538,226.354792,28.122753
151,31.0,0.01039276,225.494532,28.110519
152,32.0,0.00935432,226.899259,28.086822
153,33.0,0.00924020,223.004281,28.094292
154,34.0,0.00845455,224.012164,28.071003
155,35.0,0.00933238,222.990403,28.094424
156,36.0,0.00998724,226.891035,28.087810
157,37.0,0.01032092,222.310609,28.087211
158,38.0,0.00992743,223.172835,28.075257
159,39.0,0.01127022,221.951139,28.095048
160,40.0,0.01032006,226.798945,28.102445
161,41.0,0.01085190,222.877285,28.111618
162,42.0,0.00975301,224.880445,28.107941
163,43.0,0.01015138,223.576083,28.114993
164,44.0,0.00917323,226.947454,28.095752
165,45.0,0.00993864,221.850723,28.104386
166,46.0,0.00921859,222.615446,28.071672
167,47.0,0.00901186,221.927731,28.086448
168,48.0,0.00971783,225.344107,28.094427
169,49.0,0.00943953,220.356682,28.104812
170,50.0,0.00966646,221.445647,28.107310
171,51.0,0.01035690,220.316122,28.117543
172,52.0,0.01165544,224.122764,28.103554
173,53.0,0.01136671,220.690955,28.114748
174,54.0,0.01206909,223.519023,28.129422
175,55.0,0.01135754,221.651890,28.109091
176,56.0,0.01112815,225.100290,28.117060
177,57.0,0.01094309,220.213361,28.130426
178,58.0,0.01171451,221.529738,28.129465
179,59.0,0.01115434,221.636176,28.137386
180,60.0,0.01313187,225.946297,28.158032
181,61.0,0.01146758,219.775717,28.131304
182,62.0,0.01015446,221.537946,28.141241
183,63.0,0.00880322,220.154404,28.151222
184,64.0,0.00831035,226.303608,28.150373
185,65.0,0.00706432,221.209506,28.146473
186,66.0,0.00730277,223.996568,28.154996
187,67.0,0.00755336,221.966097,28.154341
188,68.0,0.00804343,227.226745,28.167899
189,69.0,0.00896213,222.305091,28.175160
190,70.0,0.00998148,223.283891,28.134428
191,71.0,0.01062012,222.302549,28.131408
192,72.0,0.01100028,228.800722,28.142730
193,73.0,0.01310196,223.310889,28.128519
194,74.0,0.01332226,225.591386,28.122348
195,75.0,0.01369867,224.393519,28.112441
196,76.0,0.01244637,229.866788,28.119819
197,77.0,0.01328980,223.395247,28.107380
198,78.0,0.01240099,225.969728,28.106430
199,79.0,0.01273829,223.158771,28.095604
200,80.0,0.01184196,229.467448,28.112502
201,81.0,0.01266042,222.977478,28.138217
202,82.0,0.01241661,224.312607,28.132874
203,83.0,0.01102740,223.683356,28.134136
204,84.0,0.00974293,229.506823,28.145742
205,85.0,0.01081525,224.972346,28.137525
206,86.0,0.01097722,226.539211,28.147575
207,87.0,0.01165631,224.727545,28.147498
208,88.0,0.01101207,230.109647,28.166671
209,89.0,0.01221124,224.077454,28.167069
210,90.0,0.01244190,225.437553,28.173981
211,91.0,0.01320086,222.461089,28.173597
212,92.0,0.01257290,229.510407,28.166729
213,93.0,0.01304299,224.046864,28.187981
214,94.0,0.01314260,224.887246,28.175503
215,95.0,0.01325104,223.067379,28.168581
216,96.0,0.01258886,228.157930,28.184776
217,97.0,0.01384297,222.021004,28.172141
218,98.0,0.01417854,224.358918,28.157904
219,99.0,0.01464236,223.358149,28.164813
220,100.0,0.01404519,228.827726,28.161239
221,101.0,0.01511246,223.681383,28.182179
222,102.0,0.01502966,226.981975,28.181834
223,103.0,0.01564051,224.940640,28.170737
224,104.0,0.01484638,229.566579,28.163548
225,105.0,0.01557152,224.623585,28.125492
226,106.0,0.01671948,222.213291,28.135585
227,107.0,0.01626598,226.610168,28.139763
228,108.0,0.01660855,228.134321,28.149741
229,109.0,0.01734526,222.177760,28.133146
230,110.0,0.01715802,220.524075,28.162141
231,111.0,0.01732987,215.706539,28.165241
232,112.0,0.01629719,221.999716,28.154526
233,113.0,0.01746161,212.724078,28.133555
234,114.0,0.01762965,212.513999,28.143826
235,115.0,0.01787028,208.459856,28.129750
236,116.0,0.01750427,213.306450,28.131189
237,117.0,0.01843171,204.610382,28.123124
238,118.0,0.01805701,204.758672,28.113437
239,119.0,0.01816304,197.307334,28.110988
240,120.0,0.01805831,194.292514,28.096626
