sigma,method,n_detected,tp,fp,fn,precision,recall,f1
0,D_meanstd_k3,3,3,0,0,1.000000,1.000000,1.000000
0,D_movavg_w15k4,3,3,0,0,1.000000,1.000000,1.000000
0,H_meanstd_k3,3,3,0,0,1.000000,1.000000,1.000000
5,D_meanstd_k3,3,3,0,0,1.000000,1.000000,1.000000
5,D_movavg_w15k4,3,3,0,0,1.000000,1.000000,1.000000
5,H_meanstd_k3,3,3,0,0,1.000000,1.000000,1.000000
10,D_meanstd_k3,3,3,0,0,1.000000,1.000000,1.000000
10,D_movavg_w15k4,3,3,0,0,1.000000,1.000000,1.000000
10,H_meanstd_k3,3,3,0,0,1.000000,1.000000,1.000000
20,D_meanstd_k3,3,3,0,0,1.000000,1.000000,1.000000
20,D_movavg_w15k4,1,1,0,2,1.000000,0.333333,0.500000
20,H_meanstd_k3,3,3,0,0,1.000000,1.000000,1.000000
40,D_meanstd_k3,3,3,0,0,1.000000,1.000000,1.000000
40,D_movavg_w15k4,0,0,0,3,0.000000,0.000000,0.000000
40,H_meanstd_k3,3,3,0,0,1.000000,1.000000,1.000000
