frame,D_sigma0,H_sigma0,D_sigma5,H_sigma5,D_sigma10,H_sigma10,D_sigma20,H_sigma20,D_sigma40,H_sigma40
1,46304,0.00162423,11698421,0.00398341,23376245,0.00471258,45564880,0.00571373,82435875,0.00592978
2,1326623,0.00587191,12254027,0.00523245,23737410,0.00537712,45800708,0.00550444,82594178,0.00565972
3,1652308,0.00656443,12337442,0.00483989,23788000,0.00555941,45869120,0.00449074,82582053,0.00474151
4,1539185,0.00452932,12310881,0.00524498,23770992,0.00531732,45825747,0.00516397,82550626,0.00590664
5,1682267,0.00549576,12344310,0.00472126,23800630,0.00479070,45863059,0.00446373,82587467,0.00547936
6,2210494,0.01235822,12494337,0.00518229,23885201,0.00488715,45902117,0.00688947,82666120,0.00541474
7,37938,0.00047357,11712388,0.00391590,23371708,0.00472126,45606367,0.00525849,82580452,0.00598090
8,1657561,0.00598862,12353891,0.00427276,23813354,0.00571181,45849682,0.00580536,82636649,0.00554398
9,1529854,0.00450231,12323829,0.00464313,23794330,0.00483218,45864225,0.00635127,82641079,0.00688272
10,1717830,0.00843268,12343983,0.00566840,23780870,0.00586227,45848754,0.00619309,82580468,0.00553337
11,1495856,0.00551215,12270885,0.00388310,23752072,0.00499035,45792941,0.00730806,82562056,0.00570795
12,1530192,0.00533854,12311991,0.00460937,23761323,0.00426505,45836975,0.00566358,82638734,0.00579090
13,24902,0.00052662,11715456,0.00402006,23362698,0.00461709,45609502,0.00505112,82539846,0.00604938
14,4455399,0.01003569,13687088,0.00621046,24672282,0.00511960,46324780,0.00625579,82816770,0.00642940
15,2013024,0.00607446,12410989,0.00492477,23830506,0.00582562,45841770,0.00592882,82546949,0.00563947
16,1414969,0.00553048,12209388,0.00570409,23697297,0.00587963,45760248,0.00635127,82467276,0.00636767
17,1566718,0.00680941,12259257,0.00642361,23726430,0.00632137,45804935,0.00525656,82507913,0.00647762
18,1347118,0.00342110,12164592,0.00467303,23673928,0.00497975,45776021,0.00523630,82587368,0.00603781
19,28237,0.00059317,11704480,0.00557774,23385334,0.00520158,45653245,0.00477816,82422843,0.00550637
20,1550413,0.00743538,12211560,0.00629244,23677872,0.00568866,45740404,0.00549865,82530678,0.00493924
21,1294300,0.00719811,12156244,0.00706501,23635099,0.00562404,45750646,0.00554880,82511712,0.00466725
22,1254946,0.00614680,12156203,0.00328318,23654348,0.00594907,45765255,0.00565104,82552598,0.00509742
23,1339376,0.00467593,12205761,0.00641879,23697973,0.00569830,45786368,0.00582176,82595497,0.00483314
24,1574373,0.00904707,12270563,0.00622203,23732018,0.00680652,45794125,0.00600984,82586550,0.00544464
25,36820,0.00098283,11689064,0.00529514,23390519,0.00443480,45635783,0.00426698,82535847,0.00523245
26,1344180,0.00405478,12209729,0.00724730,23701692,0.00413484,45822099,0.00568287,82557965,0.00457755
27,1361447,0.00413773,12217461,0.00538484,23715982,0.00556520,45810307,0.00464796,82607053,0.00513021
28,1496881,0.00636092,12260330,0.00670910,23741501,0.00597029,45820036,0.00566358,82571802,0.00604263
29,1342111,0.00726370,12209595,0.00592785,23685644,0.00733218,45771830,0.00601370,82516049,0.00616127
30,3318032,0.02100019,12538351,0.00927180,23868148,0.00896219,45836389,0.00772569,82627328,0.00628279
31,40963,0.00156250,11702648,0.00412712,23355641,0.00449171,45582690,0.00562307,82446274,0.00548032
32,1438002,0.00702257,12251001,0.00567612,23717608,0.00556809,45791234,0.00474441,82566168,0.00531346
33,1388846,0.00490162,12239643,0.00513310,23748398,0.00630305,45802112,0.00423322,82517633,0.00610050
34,1458905,0.00511960,12262206,0.00550058,23766208,0.00562018,45790211,0.00583623,82460735,0.00648727
35,1695256,0.00706790,12331102,0.00438657,23790797,0.00459008,45759486,0.00497685,82573187,0.00514564
36,1398065,0.00365066,12250362,0.00560764,23728846,0.00540316,45767710,0.00430073,82439328,0.00614390
37,27637,0.00050926,11705307,0.00467400,23385628,0.00453318,45564180,0.00561246,82406545,0.00635224
38,1407884,0.00447627,12241257,0.00529128,23721602,0.00540316,45752010,0.00516879,82525636,0.00438175
39,1603486,0.00596258,12286783,0.00528549,23731532,0.00472512,45803914,0.00529417,82468046,0.00547454
40,1453173,0.00626350,12244238,0.00444155,23716146,0.00518519,45756449,0.00631655,82406897,0.00634066
41,1467464,0.00476466,12254527,0.00497685,23714778,0.00512153,45741218,0.00626543,82464614,0.00608700
42,1578340,0.00550540,12292029,0.00428627,23733561,0.00471933,45797510,0.00627025,82476442,0.00622106
43,29144,0.00074460,11705085,0.00463156,23370145,0.00509452,45593831,0.00589120,82342113,0.00677662
44,1460717,0.00334201,12256307,0.00543306,23719156,0.00508198,45748223,0.00506173,82404027,0.00676698
45,1546890,0.00511381,12273135,0.00417438,23725669,0.00572627,45757329,0.00447627,82374831,0.00574846
46,1667068,0.00778164,12322723,0.00532407,23778748,0.00482928,45791150,0.00461709,82486305,0.00466821
47,1425760,0.00642072,12232944,0.00617863,23713523,0.00574074,45742762,0.00656636,82467863,0.00575907
48,1564717,0.00477334,12245417,0.00568866,23714129,0.00531829,45742698,0.00576292,82445015,0.00454379
49,37779,0.00089796,11700702,0.00408468,23372802,0.00429205,45557106,0.00519676,82364597,0.00492573
50,1446591,0.00773727,12204267,0.00617477,23700483,0.00692419,45741637,0.00459491,82500037,0.00565876
