frame,otsu_my,otsu_cv2,match,white_ratio_fixed128,white_ratio_otsu_frame,white_ratio_otsu_global
0,96,96,1,0.223733,0.243082,0.242572
1,96,96,1,0.223950,0.243322,0.242812
2,96,96,1,0.223566,0.242744,0.242188
3,96,96,1,0.223539,0.242821,0.242287
4,96,96,1,0.223519,0.242890,0.242406
5,96,96,1,0.223392,0.242743,0.242250
6,96,96,1,0.223534,0.242914,0.242433
7,96,96,1,0.224142,0.243477,0.242974
8,96,96,1,0.224010,0.243498,0.242983
9,96,96,1,0.224358,0.243834,0.243285
10,96,96,1,0.224370,0.243636,0.243118
11,96,96,1,0.224524,0.243664,0.243112
12,96,96,1,0.224995,0.244096,0.243561
13,96,96,1,0.225116,0.244379,0.243834
14,96,96,1,0.224732,0.243845,0.243354
15,96,96,1,0.224447,0.243314,0.242832
16,96,96,1,0.223664,0.242307,0.241824
17,96,96,1,0.223550,0.242054,0.241527
18,96,96,1,0.223393,0.241995,0.241509
19,96,96,1,0.223568,0.242190,0.241633
20,96,96,1,0.223632,0.242296,0.241819
21,96,96,1,0.223965,0.242649,0.242146
22,96,96,1,0.224402,0.243060,0.242558
23,96,96,1,0.225219,0.243881,0.243347
24,96,96,1,0.226437,0.244998,0.244478
25,96,96,1,0.228056,0.246406,0.245955
26,96,96,1,0.229797,0.248142,0.247686
27,96,96,1,0.232311,0.250505,0.250031
28,96,96,1,0.235462,0.253513,0.253013
29,96,96,1,0.239158,0.257150,0.256696
30,96,96,1,0.241921,0.260178,0.259721
31,97,97,1,0.244226,0.262258,0.262258
32,97,97,1,0.246013,0.263981,0.263981
33,97,97,1,0.247824,0.265944,0.265944
34,97,97,1,0.249431,0.267743,0.267743
35,97,97,1,0.251223,0.269424,0.269424
36,97,97,1,0.252496,0.270748,0.270748
37,97,97,1,0.254564,0.272850,0.272850
38,97,97,1,0.257700,0.276022,0.276022
39,97,97,1,0.261144,0.279454,0.279454
40,97,97,1,0.263942,0.282391,0.282391
41,97,97,1,0.266374,0.284705,0.284705
42,97,97,1,0.268108,0.286672,0.286672
43,97,97,1,0.270567,0.288962,0.288962
44,97,97,1,0.273149,0.291568,0.291568
45,97,97,1,0.277321,0.295630,0.295630
46,97,97,1,0.282638,0.300952,0.300952
47,97,97,1,0.288422,0.306734,0.306734
48,97,97,1,0.293976,0.312618,0.312618
49,97,97,1,0.299354,0.318293,0.318293
50,97,97,1,0.304539,0.323486,0.323486
51,98,98,1,0.309864,0.328404,0.328996
52,98,98,1,0.314566,0.333164,0.333691
53,98,98,1,0.319622,0.338299,0.338847
54,98,98,1,0.324012,0.342720,0.343301
55,98,98,1,0.327437,0.346117,0.346713
56,98,98,1,0.329714,0.348451,0.349021
57,98,98,1,0.331361,0.350044,0.350618
58,98,98,1,0.331955,0.350656,0.351233
59,98,98,1,0.332760,0.351318,0.351913
60,98,98,1,0.333619,0.351926,0.352577
61,98,98,1,0.335073,0.353143,0.353721
62,98,98,1,0.335265,0.353248,0.353835
63,98,98,1,0.333508,0.351377,0.351975
64,98,98,1,0.331297,0.348946,0.349524
65,98,98,1,0.328967,0.346692,0.347283
66,98,98,1,0.328236,0.345830,0.346423
67,98,98,1,0.328185,0.345851,0.346369
68,98,98,1,0.328317,0.345918,0.346458
69,98,98,1,0.328139,0.345599,0.346160
70,98,98,1,0.328786,0.345890,0.346497
71,98,98,1,0.329830,0.346897,0.347450
72,98,98,1,0.330314,0.347310,0.347862
73,98,98,1,0.329789,0.346443,0.346960
74,98,98,1,0.328039,0.344683,0.345225
75,99,99,1,0.326207,0.342192,0.343217
76,99,99,1,0.324364,0.340050,0.341071
77,99,99,1,0.322599,0.338178,0.339232
78,99,99,1,0.319622,0.334957,0.335951
79,99,99,1,0.315541,0.330693,0.331673
