hash,n,alpha,succ_avg,unsucc_avg
add,8,0.470588,1.125000,0.500000
add,17,1.000000,1.411765,0.705882
add,34,2.000000,1.882353,2.117647
add,51,3.000000,2.392157,3.215686
add,85,5.000000,3.329412,5.011765
add,170,10.000000,5.882353,10.129412
add,340,20.000000,11.161765,19.894118
add,510,30.000000,16.213725,29.960784
add,850,50.000000,26.188235,50.389412
add,1700,100.000000,50.872941,100.271765
fnv1a,8,0.470588,1.250000,0.500000
fnv1a,17,1.000000,1.411765,0.823529
fnv1a,34,2.000000,2.029412,1.735294
fnv1a,51,3.000000,2.509804,2.823529
fnv1a,85,5.000000,3.529412,4.929412
fnv1a,170,10.000000,6.252941,9.770588
fnv1a,340,20.000000,11.082353,19.770588
fnv1a,510,30.000000,16.033333,29.752941
fnv1a,850,50.000000,25.818824,50.097647
fnv1a,1700,100.000000,50.828824,100.301765
