kind,i,value_ns
sample,0,458
cumavg,0,458
rehash,18,37
rehash,38,79
rehash,80,163
sample,100,0
rehash,164,331
sample,200,42
sample,300,0
rehash,332,673
sample,400,42
sample,500,42
sample,600,41
rehash,674,1361
sample,700,42
sample,800,42
sample,900,0
sample,1000,0
cumavg,1000,53
sample,1100,0
sample,1200,0
sample,1300,41
rehash,1362,2729
sample,1400,42
sample,1500,0
sample,1600,0
sample,1700,0
sample,1800,42
sample,1900,42
sample,2000,0
cumavg,2000,51
sample,2100,41
sample,2200,0
sample,2300,0
sample,2400,0
sample,2500,42
sample,2600,0
sample,2700,42
rehash,2730,5471
sample,2800,0
sample,2900,0
sample,3000,41
cumavg,3000,58
sample,3100,41
sample,3200,0
sample,3300,42
sample,3400,42
sample,3500,0
sample,3600,42
sample,3700,42
sample,3800,42
sample,3900,41
sample,4000,0
cumavg,4000,51
sample,4100,42
sample,4200,42
sample,4300,41
sample,4400,41
sample,4500,0
sample,4600,0
sample,4700,42
sample,4800,0
sample,4900,41
sample,5000,0
cumavg,5000,46
sample,5100,0
sample,5200,0
sample,5300,42
sample,5400,42
rehash,5472,10949
spike,5472,74875
sample,5500,41
sample,5600,42
sample,5700,41
sample,5800,0
sample,5900,0
sample,6000,42
cumavg,6000,56
sample,6100,42
sample,6200,41
sample,6300,0
sample,6400,0
sample,6500,41
sample,6600,0
sample,6700,42
sample,6800,42
sample,6900,42
sample,7000,42
cumavg,7000,52
sample,7100,42
sample,7200,0
sample,7300,0
sample,7400,0
sample,7500,0
sample,7600,42
sample,7700,42
sample,7800,41
sample,7900,41
sample,8000,42
cumavg,8000,49
sample,8100,0
sample,8200,0
sample,8300,42
sample,8400,42
sample,8500,0
sample,8600,0
sample,8700,0
sample,8800,41
sample,8900,42
sample,9000,42
cumavg,9000,47
sample,9100,0
sample,9200,0
sample,9300,41
sample,9400,0
sample,9500,42
sample,9600,42
sample,9700,0
sample,9800,42
sample,9900,42
sample,10000,84
cumavg,10000,45
sample,10100,0
sample,10200,42
sample,10300,42
sample,10400,42
sample,10500,41
sample,10600,42
sample,10700,42
sample,10800,0
sample,10900,42
rehash,10950,21911
spike,10950,154417
sample,11000,42
cumavg,11000,58
sample,11100,42
sample,11200,42
sample,11300,41
sample,11400,42
sample,11500,42
sample,11600,0
sample,11700,41
sample,11800,41
sample,11900,42
sample,12000,0
cumavg,12000,55
sample,12100,42
sample,12200,41
sample,12300,42
sample,12400,0
sample,12500,42
sample,12600,41
sample,12700,41
sample,12800,42
sample,12900,42
sample,13000,42
cumavg,13000,53
sample,13100,42
sample,13200,42
sample,13300,41
sample,13400,0
sample,13500,0
sample,13600,42
sample,13700,0
sample,13800,0
sample,13900,41
sample,14000,41
cumavg,14000,52
sample,14100,0
sample,14200,42
sample,14300,42
sample,14400,0
sample,14500,0
sample,14600,0
sample,14700,1250
sample,14800,42
sample,14900,0
sample,15000,0
cumavg,15000,50
sample,15100,41
sample,15200,42
sample,15300,0
sample,15400,42
sample,15500,42
sample,15600,41
sample,15700,0
sample,15800,0
sample,15900,0
sample,16000,0
cumavg,16000,49
sample,16100,42
sample,16200,0
sample,16300,42
sample,16400,41
sample,16500,42
sample,16600,0
sample,16700,42
sample,16800,41
sample,16900,42
sample,17000,42
cumavg,17000,48
sample,17100,41
sample,17200,42
sample,17300,0
