structure,N,rep,insert_total_us,lookup_avg_ns
fixed17,1000,1,40.0,191.5
fixed17,1000,2,398.0,1109.3
fixed17,1000,3,35.0,567.9
fixed17,1000,4,18.0,766.7
fixed17,1000,5,15.0,194.2
improved,1000,1,74.0,55.8
improved,1000,2,52.0,513.7
improved,1000,3,62.0,554.0
improved,1000,4,38.0,133.7
improved,1000,5,36.0,133.5
unordered_map,1000,1,54.0,12.2
unordered_map,1000,2,44.0,11.5
unordered_map,1000,3,35.0,130.4
unordered_map,1000,4,91.0,407.0
unordered_map,1000,5,96.0,26.6
map,1000,1,169.0,397.3
map,1000,2,120.0,288.8
map,1000,3,155.0,331.6
map,1000,4,121.0,402.9
map,1000,5,255.0,128.5
fixed17,3162,1,116.0,1153.5
fixed17,3162,2,93.0,1363.4
fixed17,3162,3,96.0,1076.1
fixed17,3162,4,48.0,626.9
fixed17,3162,5,59.0,1072.5
improved,3162,1,3941.0,30.9
improved,3162,2,233.0,72.8
improved,3162,3,147.0,41.7
improved,3162,4,126.0,35.5
improved,3162,5,222.0,217.1
unordered_map,3162,1,137.0,236.7
unordered_map,3162,2,240.0,85.3
unordered_map,3162,3,240.0,293.2
unordered_map,3162,4,140.0,27.3
unordered_map,3162,5,181.0,22.7
map,3162,1,460.0,843.1
map,3162,2,1217.0,229.7
map,3162,3,562.0,215.4
map,3162,4,571.0,170.7
map,3162,5,557.0,179.2
fixed17,10000,1,376.0,3488.8
fixed17,10000,2,306.0,3021.7
fixed17,10000,3,294.0,3440.7
fixed17,10000,4,176.0,3716.8
fixed17,10000,5,308.0,3337.8
improved,10000,1,603.0,37.7
improved,10000,2,734.0,36.8
improved,10000,3,592.0,88.3
improved,10000,4,352.0,26.9
improved,10000,5,321.0,37.6
unordered_map,10000,1,526.0,27.9
unordered_map,10000,2,863.0,39.3
unordered_map,10000,3,783.0,54.9
unordered_map,10000,4,822.0,28.3
unordered_map,10000,5,612.0,21.2
map,10000,1,2435.0,240.6
map,10000,2,5650.0,300.8
map,10000,3,3356.0,215.1
map,10000,4,11840.0,238.5
map,10000,5,3825.0,275.6
fixed17,31623,1,1319.0,15475.0
fixed17,31623,2,2248.0,18979.1
fixed17,31623,3,3607.0,16495.9
fixed17,31623,4,2168.0,14777.9
fixed17,31623,5,943.0,19999.4
improved,31623,1,1202.0,85.2
improved,31623,2,3676.0,47.7
improved,31623,3,2404.0,52.0
improved,31623,4,5252.0,360.7
improved,31623,5,5107.0,277.7
unordered_map,31623,1,3917.0,36.9
unordered_map,31623,2,10875.0,69.4
unordered_map,31623,3,16621.0,85.6
unordered_map,31623,4,3630.0,25.2
unordered_map,31623,5,5084.0,95.2
map,31623,1,13808.0,428.8
map,31623,2,28546.0,487.6
map,31623,3,9827.0,541.3
map,31623,4,16844.0,359.8
map,31623,5,8048.0,332.2
fixed17,100000,1,3294.0,227284.1
fixed17,100000,2,1672.0,484731.5
fixed17,100000,3,3487.0,303822.0
fixed17,100000,4,8990.0,374498.1
fixed17,100000,5,6726.0,743101.0
improved,100000,1,13283.0,27.8
improved,100000,2,31653.0,178.6
improved,100000,3,10417.0,23.0
improved,100000,4,4453.0,39.4
improved,100000,5,24479.0,25.9
unordered_map,100000,1,11777.0,123.8
unordered_map,100000,2,20205.0,31.6
unordered_map,100000,3,28873.0,26.6
unordered_map,100000,4,5407.0,24.3
unordered_map,100000,5,21847.0,225.1
map,100000,1,128625.0,1969.2
map,100000,2,162097.0,686.6
map,100000,3,57548.0,776.7
map,100000,4,95797.0,872.1
map,100000,5,71972.0,2339.4
improved,316228,1,41385.0,76.6
improved,316228,2,67185.0,72.4
improved,316228,3,154527.0,447.1
improved,316228,4,194349.0,235.8
improved,316228,5,54041.0,85.5
unordered_map,316228,1,59407.0,173.3
unordered_map,316228,2,72512.0,256.8
unordered_map,316228,3,122751.0,147.1
unordered_map,316228,4,117644.0,249.5
unordered_map,316228,5,169379.0,273.8
map,316228,1,483318.0,4004.3
map,316228,2,535042.0,4478.3
map,316228,3,1686559.0,2921.7
map,316228,4,1139795.0,4930.5
map,316228,5,1054905.0,7659.1
improved,1000000,1,1751084.0,273.8
improved,1000000,2,1869361.0,1642.7
improved,1000000,3,1382041.0,335.9
improved,1000000,4,1365438.0,1087.5
improved,1000000,5,1496228.0,952.6
unordered_map,1000000,1,2060447.0,1321.6
unordered_map,1000000,2,3803852.0,1570.4
unordered_map,1000000,3,4391572.0,2244.6
unordered_map,1000000,4,3584558.0,956.4
unordered_map,1000000,5,2562546.0,372.5
map,1000000,1,13337805.0,12907.7
map,1000000,2,6074825.0,11252.8
map,1000000,3,4635425.0,24731.0
map,1000000,4,17204663.0,15431.1
map,1000000,5,3776930.0,10615.6
