rank,task,hash,cost,score,archetype
1,task285,b775ac94,8611,15.9392,continuous_creature|get_pixel
2,task366,e6721834,7985,16.0147,all_pixels
3,task158,6aa20dc0,7424,16.0875,overlaps
4,task286,b782dc8a,7345,16.0982,get_pixel
5,task233,97a05b5b,7308,16.1033,all_pixels|overlaps
6,task101,447fd412,5635,16.3632,continuous_creature|draw|overlaps
7,task145,6455b5f5,5129,16.4573,
8,task018,0e206a2e,4753,16.5335,continuous_creature|overlaps
9,task133,57aa92db,4393,16.6122,continuous_creature|draw|overlaps
10,task118,50846271,3665,16.7934,overlaps|random_pixels
11,task349,db93a21d,3532,16.8304,draw
12,task173,72322fa7,3525,16.8324,overlaps
13,task191,7df24a62,3436,16.8579,all_pixels|draw|get_pixel|random_pixels
14,task077,36fdfd69,3261,16.9102,overlaps|random_pixels
15,task080,39e1d7f9,3050,16.9771,all_pixels|create_linegrid|draw|overlaps
16,task138,5daaa586,2705,17.0971,draw|random_pixels|remove_neighbors
17,task009,06df4c85,2619,17.1295,create_linegrid
18,task076,36d67576,2550,17.1562,all_pixels|diagonally_connected|overlaps
19,task005,045e512c,2325,17.2485,
20,task054,264363fd,2258,17.2778,get_pixel|transpose
21,task204,868de0fa,2142,17.3305,overlaps
22,task209,8a004b2b,2083,17.3584,continuous_creature
23,task367,e73095fd,2021,17.3887,draw|get_pixel
24,task379,ecdecbb3,1947,17.4260,transpose
25,task187,7b6016b9,1798,17.5056,get_pixel|transpose
26,task023,150deff5,1622,17.6086,overlaps
27,task216,8efcae92,1499,17.6874,overlaps|random_pixels
28,task219,90f3ed37,1445,17.7241,all_pixels|draw
29,task208,890034e9,1422,17.7402,get_pixel
30,task365,e50d258f,1355,17.7884,overlaps
31,task089,3e980e27,1340,17.7996,all_pixels|diagonally_connected|overlaps
32,task255,a64e4611,1307,17.8245,draw|random_pixels|transpose
33,task002,00d62c1b,1286,17.8407,is_surrounded|overlaps|random_pixels
34,task196,810b9b61,1210,17.9016,draw|overlaps
35,task340,d687bc17,1173,17.9327,
36,task192,7e0986d6,1134,17.9665,overlaps|random_pixels|remove_neighbors
37,task096,4290ef0e,1123,17.9762,draw|get_pixel
38,task044,228f6490,1076,18.0190,continuous_creature|overlaps
39,task090,3eda0437,1049,18.0444,random_pixels
40,task125,543a7ed5,1045,18.0482,overlaps
41,task205,8731374e,1038,18.0549,
42,task396,fcb5c309,1019,18.0734,all_pixels|overlaps|random_pixels
43,task319,ce602527,975,18.1176,conway_sprite|diagonally_connected|draw|get_pixel
44,task182,776ffc46,949,18.1446,draw|overlaps
45,task370,e8dc4411,944,18.1499,conway_sprite|draw|transpose
46,task330,d2abd087,896,18.2021,continuous_creature|overlaps
47,task157,6a1e5592,849,18.2559,continuous_creature|overlaps
48,task280,b527c5c6,828,18.2810,transpose
49,task361,e40b9e2f,827,18.2822,
50,task382,f15e1fac,820,18.2907,apply_gravity|flip_horiz
51,task201,846bdb03,807,18.3067,conway_sprite|overlaps
52,task251,a5313dff,755,18.3733,draw|overlaps
53,task012,0962bcdd,710,18.4347,apply_gravity
54,task131,56dc2b01,691,18.4619,continuous_creature|flip_horiz|transpose
55,task364,e509e548,685,18.4706,overlaps|rand_sprite
56,task107,469497ad,664,18.5017,draw
57,task198,83302e8f,661,18.5062,create_linegrid
58,task277,b230c067,631,18.5527,continuous_creature|overlaps
59,task046,234bbc79,627,18.5591,
