rank,task,hash,cost,score,archetype
1,task233,97a05b5b,14902,15.3907,all_pixels|overlaps
2,task286,b782dc8a,11405,15.6582,get_pixel
3,task285,b775ac94,9422,15.8492,continuous_creature|get_pixel
4,task158,6aa20dc0,9304,15.8618,overlaps
5,task366,e6721834,8547,15.9467,all_pixels
6,task145,6455b5f5,8520,15.9498,
7,task101,447fd412,6787,16.1772,continuous_creature|draw|overlaps
8,task173,72322fa7,6015,16.2980,overlaps
9,task018,0e206a2e,5434,16.3996,continuous_creature|overlaps
10,task118,50846271,5341,16.4168,overlaps|random_pixels
11,task133,57aa92db,5183,16.4469,continuous_creature|draw|overlaps
12,task349,db93a21d,4579,16.5708,draw
13,task191,7df24a62,3819,16.7523,all_pixels|draw|get_pixel|random_pixels
14,task077,36fdfd69,3671,16.7918,overlaps|random_pixels
15,task204,868de0fa,3514,16.8355,overlaps
16,task138,5daaa586,3407,16.8664,draw|random_pixels|remove_neighbors
17,task192,7e0986d6,3352,16.8827,overlaps|random_pixels|remove_neighbors
18,task054,264363fd,3214,16.9247,get_pixel|transpose
19,task209,8a004b2b,3111,16.9573,continuous_creature
20,task080,39e1d7f9,3084,16.9660,all_pixels|create_linegrid|draw|overlaps
21,task009,06df4c85,2945,17.0121,create_linegrid
22,task367,e73095fd,2916,17.0220,draw|get_pixel
23,task187,7b6016b9,2875,17.0362,get_pixel|transpose
24,task370,e8dc4411,2688,17.1034,conway_sprite|draw|transpose
25,task076,36d67576,2683,17.1053,all_pixels|diagonally_connected|overlaps
26,task005,045e512c,2336,17.2438,
27,task319,ce602527,2288,17.2646,conway_sprite|diagonally_connected|draw|get_pixel
28,task255,a64e4611,2218,17.2956,draw|random_pixels|transpose
29,task379,ecdecbb3,2057,17.3710,transpose
30,task044,228f6490,1963,17.4178,continuous_creature|overlaps
31,task182,776ffc46,1889,17.4562,draw|overlaps
32,task089,3e980e27,1865,17.4690,all_pixels|diagonally_connected|overlaps
33,task365,e50d258f,1863,17.4701,overlaps
34,task361,e40b9e2f,1808,17.5000,
35,task196,810b9b61,1781,17.5151,draw|overlaps
36,task023,150deff5,1743,17.5366,overlaps
37,task002,00d62c1b,1705,17.5587,is_surrounded|overlaps|random_pixels
38,task219,90f3ed37,1671,17.5788,all_pixels|draw
39,task216,8efcae92,1579,17.6355,overlaps|random_pixels
40,task096,4290ef0e,1569,17.6418,draw|get_pixel
41,task208,890034e9,1525,17.6703,get_pixel
42,task264,a8c38be5,1396,17.7586,overlaps
43,task125,543a7ed5,1287,17.8399,overlaps
44,task396,fcb5c309,1286,17.8407,all_pixels|overlaps|random_pixels
45,task086,3befdf3e,1213,17.8991,
46,task354,ddf7fa4f,1205,17.9058,
47,task340,d687bc17,1192,17.9166,
48,task205,8731374e,1121,17.9780,
49,task090,3eda0437,1110,17.9879,random_pixels
50,task268,aba27056,1070,18.0246,draw|transpose
51,task363,e5062a87,1057,18.0368,conway_sprite|diagonally_connected
52,task251,a5313dff,1029,18.0637,draw|overlaps
53,task157,6a1e5592,1024,18.0685,continuous_creature|overlaps
54,task280,b527c5c6,986,18.1063,transpose
55,task201,846bdb03,974,18.1186,conway_sprite|overlaps
56,task330,d2abd087,942,18.1520,continuous_creature|overlaps
57,task162,6cf79266,928,18.1670,random_pixels
58,task338,d5d6de2d,920,18.1756,overlaps
59,task131,56dc2b01,910,18.1866,continuous_creature|flip_horiz|transpose
60,task344,d90796e8,910,18.1866,draw|get_pixel|random_pixels
61,task046,234bbc79,905,18.1921,
62,task107,469497ad,905,18.1921,draw
