2026-07-14 10:59:20.983 python[82899:24060254] 2026-07-14 10:59:20.982507 [W:onnxruntime:, graph.cc:122 MergeShapeInfo] Error merging shape info for output. 'safe_name_19' source:{1,10,30,30} target:{1,1,1,1}. Falling back to lenient merge.
2026-07-14 10:59:20.983 python[82899:24060254] 2026-07-14 10:59:20.983410 [W:onnxruntime:, graph.cc:122 MergeShapeInfo] Error merging shape info for output. 'safe_name_76' source:{1,10,1,1} target:{1,1,1,1}. Falling back to lenient merge.
2026-07-14 10:59:20.983 python[82899:24060254] 2026-07-14 10:59:20.983640 [W:onnxruntime:, graph.cc:122 MergeShapeInfo] Error merging shape info for output. 'safe_name_30' source:{1,1,30,30} target:{1,1,1,1}. Falling back to lenient merge.
2026-07-14 10:59:20.983 python[82899:24060254] 2026-07-14 10:59:20.983800 [W:onnxruntime:, graph.cc:122 MergeShapeInfo] Error merging shape info for output. 'safe_name_33' source:{1,1,30,30} target:{1,1,1,1}. Falling back to lenient merge.
2026-07-14 10:59:20.984 python[82899:24060254] 2026-07-14 10:59:20.983958 [W:onnxruntime:, graph.cc:122 MergeShapeInfo] Error merging shape info for output. 'safe_name_36' source:{1,1,30,30} target:{1,1,1,1}. Falling back to lenient merge.
2026-07-14 10:59:20.984 python[82899:24060254] 2026-07-14 10:59:20.984122 [W:onnxruntime:, graph.cc:122 MergeShapeInfo] Error merging shape info for output. 'safe_name_39' source:{1,1,30,30} target:{1,1,1,1}. Falling back to lenient merge.
2026-07-14 10:59:20.984 python[82899:24060254] 2026-07-14 10:59:20.984273 [W:onnxruntime:, graph.cc:122 MergeShapeInfo] Error merging shape info for output. 'safe_name_42' source:{1,1,30,30} target:{1,1,1,1}. Falling back to lenient merge.
2026-07-14 10:59:20.984 python[82899:24060254] 2026-07-14 10:59:20.984424 [W:onnxruntime:, graph.cc:122 MergeShapeInfo] Error merging shape info for output. 'safe_name_45' source:{1,1,30,30} target:{1,1,1,1}. Falling back to lenient merge.
2026-07-14 10:59:20.984 python[82899:24060254] 2026-07-14 10:59:20.984647 [W:onnxruntime:, graph.cc:122 MergeShapeInfo] Error merging shape info for output. 'safe_name_56' source:{1,1,30,30} target:{1,1,1,1}. Falling back to lenient merge.
2026-07-14 10:59:20.984 python[82899:24060254] 2026-07-14 10:59:20.984798 [W:onnxruntime:, graph.cc:122 MergeShapeInfo] Error merging shape info for output. 'safe_name_59' source:{1,1,30,30} target:{1,1,1,1}. Falling back to lenient merge.
2026-07-14 10:59:20.985 python[82899:24060254] 2026-07-14 10:59:20.984949 [W:onnxruntime:, graph.cc:122 MergeShapeInfo] Error merging shape info for output. 'safe_name_62' source:{1,1,30,30} target:{1,1,1,1}. Falling back to lenient merge.
2026-07-14 10:59:20.985 python[82899:24060254] 2026-07-14 10:59:20.985099 [W:onnxruntime:, graph.cc:122 MergeShapeInfo] Error merging shape info for output. 'safe_name_65' source:{1,1,30,30} target:{1,1,1,1}. Falling back to lenient merge.
2026-07-14 10:59:20.985 python[82899:24060254] 2026-07-14 10:59:20.985250 [W:onnxruntime:, graph.cc:122 MergeShapeInfo] Error merging shape info for output. 'safe_name_68' source:{1,1,30,30} target:{1,1,1,1}. Falling back to lenient merge.
2026-07-14 10:59:20.985 python[82899:24060254] 2026-07-14 10:59:20.985403 [W:onnxruntime:, graph.cc:122 MergeShapeInfo] Error merging shape info for output. 'safe_name_71' source:{1,1,30,30} target:{1,1,1,1}. Falling back to lenient merge.
2026-07-14 10:59:20.985 python[82899:24060254] 2026-07-14 10:59:20.985554 [W:onnxruntime:, graph.cc:122 MergeShapeInfo] Error merging shape info for output. 'safe_name_74' source:{1,1,30,30} target:{1,1,1,1}. Falling back to lenient merge.
2026-07-14 10:59:21.016 python[82899:24060254] 2026-07-14 10:59:21.016510 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,30,30}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
