task,baseline_task,baseline_source,baseline_sha256,baseline_serialized_size,baseline_valid,baseline_preflight_ok,baseline_known_right,baseline_known_wrong,baseline_known_skipped,baseline_known_errors,baseline_known_total_seen,baseline_memory,baseline_params,baseline_cost,baseline_score,baseline_node_count,baseline_initializer_count,baseline_error,baseline_warnings,candidate_task,candidate_source,candidate_sha256,candidate_serialized_size,candidate_valid,candidate_preflight_ok,candidate_known_right,candidate_known_wrong,candidate_known_skipped,candidate_known_errors,candidate_known_total_seen,candidate_memory,candidate_params,candidate_cost,candidate_score,candidate_node_count,candidate_initializer_count,candidate_error,candidate_warnings,differential_requested,differential_executable,differential_raw_equal,differential_threshold_equal,differential_mismatches,differential_skipped_both_failed,differential_skipped_one_failed,differential_max_abs_difference,differential_first_mismatch,cost_reduction,projected_gain,verdict,reasons,differential_first_mismatch_case,differential_first_mismatch_grid_shape,differential_first_mismatch_different_threshold_cells,differential_first_mismatch_raw_equal
13,13,baseline,3373aa4311afe3111ccbfd42eff9a6bdaeed13a7524a02d07528c3f6e6ce3488,4114,True,True,267,0,0,0,267,558,185,743,18.38930395528224,56,16,,[],13,candidate,a19721dfb3683b27613ddb176e2c367b38326a355169efbfd972491bb704f35e,3903,True,True,267,0,0,0,267,558,173,731,18.405586540250223,56,13,,[],500,500,500,500,0,0,0,0.0,,12,0.01628258496798196,ACCEPT_STRICT,[],,,,
105,105,baseline,d65b634c57083b1dd9ed7721e5d6f69ead925ad6303be789adc3a3c6b4d5b2f1,5486,True,True,266,0,0,0,266,89,110,199,19.706695175275506,20,11,,[],105,candidate,31e7878f473b9d842b5a864d410e20dd885b6ba3ccc53655c8d26cb4dff5846e,5481,True,True,266,0,0,0,266,89,105,194,19.73214184093667,20,8,,[],500,500,500,500,0,0,0,0.0,,5,0.025446665661164047,ACCEPT_STRICT,[],,,,
109,109,baseline,afa9dd95632729064fae4f731c78c4bcbcbd5382499c81b467625e9b20ded2f5,1826,True,True,266,0,0,0,266,363,43,406,18.993646840398267,17,7,,[],109,candidate,2e7be8671e2e8abe9d3f2f77f0b068f54a70a584ce477affb28fee6372bd25ef,1826,True,True,266,0,0,0,266,362,43,405,18.99611293289346,17,7,,[],500,37,37,37,0,463,0,0.0,,1,0.0024660924951938057,ACCEPT_STRICT,[],,,,
132,132,baseline,2ac5f7927047f6a3670b172d2dd4d3bfc4d9c97e0aca34b5ef29ed3cfcf544ff,1868,True,True,267,0,0,0,267,0,316,316,19.244257786413087,1,8,,[],132,candidate,79d66229975dff1e120f1d5b28ffa46212a0a70d17ffc35931e61ab2f85d57bb,1843,True,True,267,0,0,0,267,0,312,312,19.25699681219052,1,7,,[],500,500,0,499,1,0,0,3.022314549036573e+23,,4,0.012739025777431578,ACCEPT_STRICT,[],208,"[23,4]",1,False
158,158,baseline,e75c6aa8d3f45593e0830ca4d25923d83a8481d224f1aaabf5bb398316d191ce,20580,True,True,266,0,0,0,266,6736,891,7627,16.06055013783576,175,45,,[],158,candidate,4c029ccfc735a52db8eca9db9b3a032e8b512ac68e1e337ab21a090b67cfb208,20521,True,True,266,0,0,0,266,6742,873,7615,16.06212473467074,175,44,,[],500,169,169,169,0,331,0,0.0,,12,0.0015745968349776263,ACCEPT_STRICT,[],,,,
344,344,baseline,d0902dc6498525c5f62f12fc02e25fe7914afbae4a583fd77b71f8f05f08019f,1193,True,True,266,0,0,0,266,0,197,197,19.716796271262012,1,5,,"[""IR version is 7; competition baseline often uses 10""]",344,candidate,e980db3f1083e1edecd9b10ca19b7483103db0fc3b8d535a1c1e2248d57672b0,1116,True,True,266,0,0,0,266,0,191,191,19.747726571953372,1,5,,"[""IR version is 7; competition baseline often uses 10""]",500,500,0,75,425,0,0,198252.5625,,6,0.03093030069135949,ACCEPT_STRICT,[],0,"[8,6]",242,False
349,349,baseline,c43799655275fc2d5000c1ed35c5f5d3fccc9ece494784a0ff6200f9a61a3741,14657,True,True,267,0,0,0,267,3635,329,3964,16.714991104550123,128,30,,[],349,candidate,a5e5ec5580aff89af692ef95173feb909f59d925b699cc1f0e0e9fc906251130,14702,True,True,267,0,0,0,267,3641,319,3960,16.716000695751475,129,30,,[],500,500,500,500,0,0,0,0.0,,4,0.0010095912013525776,ACCEPT_STRICT,[],,,,
358,358,baseline,3ea6a4be62e0ee5e50ae94c1e89db81e2eb12f98b97317e28f0fb27ff81105a9,1310,True,True,265,0,0,0,265,12,149,161,19.918595635015535,3,10,,[],358,candidate,8d7c4eb231ce8f92d5dd413a0a36b19f74ab5b3e843507499102012d8bdee34d,1261,True,True,265,0,0,0,265,12,143,155,19.956574883080755,3,9,,[],500,500,500,500,0,0,0,0.0,,6,0.037979248065219906,ACCEPT_STRICT,[],,,,
379,379,baseline,70a1ddaf15510384e8b4d88d1420e9639de9e36b1775468386216a2f723d0750,4596,True,True,266,0,0,0,266,1570,381,1951,17.42390265937689,68,29,,[],379,candidate,4ddae903db9b2d4aceef3c501691b5cd2b862bc209f58f2e88969332c06dd455,4603,True,True,266,0,0,0,266,1570,379,1949,17.42492830049244,68,30,,[],500,500,500,500,0,0,0,0.0,,2,0.0010256411155502576,ACCEPT_STRICT,[],,,,
398,398,baseline,741d07c3cd4fa9cfe363aeb30573cb97edda0881857abeb5ae096b77773018e4,1965,True,True,268,0,0,0,268,144,206,350,19.142066845516542,5,12,,[],398,candidate,5a9ff2fb8fd5efed49a3dd1790973b2386bbd636a2eb33e02fc663c93198d25a,1947,True,True,268,0,0,0,268,144,203,347,19.15067522005314,5,11,,[],500,500,78,496,4,0,0,6.084722881095501e+31,,3,0.008608374536599683,ACCEPT_STRICT,[],114,"[2,11]",7,False
